,date,costofrevenue,epsbasic,epsdiluted,grossprofit,netincome,operatingincome,other,researchanddevelopment,sga,sharesoutstandingbasic,sharesoutstandingdiluted,taxexpensecredit,totalrevenue,ticker,interestexpense,interestincome,nonrecurringitems,depreciationamortization,minorityinterest,incometaxexpense
39,2023-09-01,-2613000000.0,,,4310000000000000.0,459000000.0,1743000000000000.0,1749000000000000.0,881000000.0,1690000000000000.0,,,-340000000.0,-580000000.0,ADBE,-27000000.0,,67000000.0,,,
40,2023-06-02,-2620000000.0,,,4244000000000000.0,459000000.0,1650000000000000.0,1655000000000000.0,876000000.0,1702000000000000.0,,,-355000000.0,-572000000.0,ADBE,-26000000.0,,47000000.0,,,
41,2023-03-03,-2501000000.0,,,4087000000000000.0,460000000.0,1598000000000000.0,1599000000000000.0,827000000.0,1632000000000000.0,,,-351000000.0,-568000000.0,ADBE,-32000000.0,,43000000.0,,,
42,2025-02-01,-1931861000.0,790.0,780.0,1430303000000000.0,391316000.0,491313000.0,439766000.0,402892000.0,284796000.0,496116000.0,498668000.0,-44260000.0,2423174000000000.0,ADI,-75264000.0,23487000.0,,,,
43,2024-08-03,-1820890000.0,790.0,790.0,1311239000000000.0,392232000.0,491319000.0,357364000.0,362671000.0,257213000.0,496338000.0,498794000.0,-30759000.0,2312209000000000.0,ADI,-85179000.0,26432000.0,,,,
44,2024-05-04,-1772916000.0,610.0,610.0,1180035000000000.0,302242000.0,386123000.0,269374000.0,354862000.0,244129000.0,496130000.0,498533000.0,-22361000.0,2159039000000000.0,ADI,-77103000.0,15269000.0,,,,
45,2024-02-03,-1926740000.0,930.0,930.0,1473941000000000.0,462727000.0,585964000.0,452438000.0,391427000.0,290078000.0,495765000.0,498741000.0,-50691000.0,2512704000000000.0,ADI,-77141000.0,9169000.0,,,,
46,2023-07-29,-2147002000.0,1750.0,1740.0,1961615000000000.0,877019000.0,929493000.0,849568000.0,423751000.0,334113000.0,500018000.0,503503000.0,2198000.0,3076495000000000.0,ADI,-69346000.0,8794000.0,,,,
47,2023-04-29,-2134546000.0,1940.0,1920.0,2144546000000000.0,977656000.0,1128384000.0,1080814000.0,415754000.0,324251000.0,504715000.0,508725000.0,-110267000.0,3262930000000000.0,ADI,-63252000.0,12575000.0,,,,
48,2023-01-28,-2118810000.0,1900.0,1880.0,2124341000000000.0,961474000.0,1130820000.0,1008403000.0,414095000.0,326284000.0,507121000.0,511184000.0,-111999000.0,3249630000000000.0,ADI,-60453000.0,10829000.0,,,,
49,2024-12-31,,2360.0,2350.0,,963200000.0,,666900000.0,239500000.0,1006100000.0,,,-298100000.0,2742500000000000.0,ADP,129600000.0,,,126900000.0,,
50,2024-09-30,,2340.0,2340.0,,956300000.0,,742900000.0,232600000.0,926700000.0,,,-279900000.0,2633700000000000.0,ADP,137800000.0,,,115300000.0,,
51,2024-03-31,,2890.0,2880.0,,1184900000.0,,1067900000.0,242700000.0,940900000.0,,,-361400000.0,2768200000000000.0,ADP,62700000.0,,,119000000.0,,
52,2023-12-31,,2140.0,2130.0,,878400000.0,,656500000.0,228700000.0,922500000.0,,,-265400000.0,2561600000000000.0,ADP,104900000.0,,,119600000.0,,
53,2023-09-30,,2090.0,2080.0,,859400000.0,,656100000.0,236500000.0,880300000.0,,,-233400000.0,2515400000000000.0,ADP,91600000.0,,,121300000.0,,
54,2023-03-31,,2520.0,2510.0,,1043100000.0,,929200000.0,0.0,938000000.0,,,-320900000.0,2623800000000000.0,ADP,38300000.0,,,115400000.0,,
55,2022-12-31,,1960.0,1950.0,,813100000.0,,690200000.0,0.0,855700000.0,,,-245000000.0,2450700000000000.0,ADP,57000000.0,,,112000000.0,,
56,2024-10-31,-1077000000.0,,,1423000000000000.0,217000000.0,346000000.0,387000000.0,378000000.0,161000000.0,,,-76000000.0,378000000.0,ADSK,,,5000000.0,,,
57,2024-07-31,-1022000000.0,,,1365000000000000.0,217000000.0,343000000.0,387000000.0,368000000.0,161000000.0,,,-70000000.0,340000000.0,ADSK,,,9000000.0,,,
58,2024-04-30,-981000000.0,,,1280000000000000.0,217000000.0,299000000.0,347000000.0,346000000.0,155000000.0,,,-57000000.0,332000000.0,ADSK,,,0.0,,,
59,2023-10-31,-953000000.0,,,1287000000000000.0,216000000.0,334000000.0,328000000.0,339000000.0,165000000.0,,,-79000000.0,312000000.0,ADSK,,,0.0,,,
60,2023-07-31,-956000000.0,,,1218000000000000.0,215000000.0,262000000.0,276000000.0,355000000.0,141000000.0,,,-36000000.0,322000000.0,ADSK,,,0.0,,,
61,2023-04-30,-925000000.0,,,1142000000000000.0,216000000.0,217000000.0,242000000.0,327000000.0,132000000.0,,,-60000000.0,329000000.0,ADSK,,,4000000.0,,,
62,2022-10-31,-904000000.0,,,1160000000000000.0,217000000.0,256000000.0,253000000.0,311000000.0,129000000.0,,,-44000000.0,334000000.0,ADSK,,,0.0,,,
63,,1659200000000000.0,1800.0,1800.0,,961700000.0,1351500000.0,-478090281.1199999,,,,,944400000.0,1.08402e+16,AEP,-498800000.0,3100000.0,0.0,852700000.0,,
64,,1368500000000000.0,640.0,640.0,,-2200000.0,683900000.0,-932360193.1199999,,,,,317300000.0,9158400000000000.0,AEP,-465600000.0,2100000.0,142500000.0,821900000.0,,
65,,1575800000000000.0,1910.0,1900.0,,-2600000.0,1172600000.0,-292351568.1199999,,,,,981200000.0,1.00514e+16,AEP,-435600000.0,500000.0,0.0,787100000.0,,
66,,1756800000000000.0,1830.0,1830.0,,-4600000.0,1353300000.0,-724995994.1700001,,,,,937000000.0,1.06834e+16,AEP,-470300000.0,500000.0,0.0,792300000.0,,
67,,1424600000000000.0,1010.0,1010.0,,5100000.0,874700000.0,-576777936.1700001,,,,,496700000.0,8745000000000000.0,AEP,-460000000.0,600000.0,0.0,741600000.0,,
68,,1706400000000000.0,770.0,770.0,,-3400000.0,704800000.0,-1128225261.17,,,,,380200000.0,9381800000000000.0,AEP,-415700000.0,1000000.0,112000000.0,775500000.0,,
69,,2111900000000000.0,1330.0,1330.0,,400000.0,930100000.0,-1407253809.2200003,,,,,673100000.0,1.10522e+16,AEP,-360700000.0,1300000.0,24900000.0,821800000.0,,
70,2024-09-30,,-170.0,-170.0,,-93000000000000.0,,7292000000500000.0,,,557899000.0,560414000.0,,2949000000000000.0,AFL,50000000.0,,,,,
71,2024-06-30,,3110.0,3100.0,,1755000000000000.0,,6700000000500000.0,,,564573000.0,566838000.0,,5138000000000000.0,AFL,50000000.0,,,,,
72,2024-03-31,,3270.0,3250.0,,1879000000000000.0,,6678000000500000.0,,,574886000.0,577482000.0,,5436000000000000.0,AFL,47000000.0,,,,,
73,2023-09-30,,2650.0,2640.0,,1569000000000000.0,,6704000000420000.0,,,591246000.0,593596000.0,,4950000000000000.0,AFL,49000000.0,,,,,
74,2023-06-30,,2720.0,2710.0,,1634000000000000.0,,6840000000420000.0,,,600742000.0,602929000.0,,5172000000000000.0,AFL,51000000.0,,,,,
75,2023-03-31,,1940.0,1940.0,,1188000000000000.0,,6949000000420000.0,,,611205000.0,613950000.0,,4800000000000000.0,AFL,48000000.0,,,,,
76,2022-09-30,,2540.0,2530.0,,1596000000000000.0,,7336000000400000.0,,,629350000.0,631946000.0,,4820000000000000.0,AFL,59000000.0,,,,,
77,2024-09-30,,,,,710.0,,6123000000710000.0,,,641621768.0,647365442.0,481000000000000.0,7724000000000000.0,AIG,112000000.0,,,,,
78,2024-06-30,,,,,-5960.0,,1560999994040000.0,,,661092967.0,666955168.0,475000000000000.0,7550000000000000.0,AIG,125000000.0,,,,,
79,2024-03-31,,,,,1740.0,,1.041600000174e+16,,,682576848.0,687961518.0,1600000000000000.0,1.6058e+16,AIG,260000000.0,,,,,
80,2023-09-30,,,,,2810.0,,1.059700000281e+16,,,712598496.0,718727312.0,2747000000000000.0,1.7411e+16,AIG,280000000.0,,,,,
81,2023-06-30,,,,,2029.9999999999998,,1.134900000203e+16,,,725754549.0,730547112.0,1691000000000000.0,1.6492e+16,AIG,278000000.0,,,,,
82,2023-03-31,,,,,30.0,,8959000000030001.0,,,738661428.0,744099186.0,-87000000000000.0,1.2608e+16,AIG,307000000.0,,,,,
83,2022-09-30,,,,,3500.0,,1.15110000035e+16,,,763051482.0,771132401.0,3041000000000000.0,2.0445e+16,AIG,282000000.0,,,,,
